,offset,limit,id,name,description,created,status,workflowStatusId,typeOfWorkId,url,projectName,customerName,workflowStatusName,typeOfWorkName,deadline,estimatedTime,customerId,projectId,canModify,canDelete
27,0,1000,347,"Software Test, Integration & Debug",,1586431917000,completed,2,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=347,QLM-4039-Splice,QLM,Done,Project Work: T&M Billable,,,33,61,False,False
28,0,1000,348,Travel,,1586431917000,completed,2,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=348,QLM-4039-Splice,QLM,Done,Project Work: T&M Billable,,,33,61,False,False
29,0,1000,426,Business Development,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=426,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
30,0,1000,427,"Hardware Build, Test & Commissioning",,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=427,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
31,0,1000,428,Hardware Design & Development,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=428,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
32,0,1000,429,Other,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=429,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
33,0,1000,430,"Procurement, Materials Management",,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=430,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
34,0,1000,431,Project Management,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=431,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
35,0,1000,432,"Requirements, Specification",,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=432,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
36,0,1000,433,Software Design & Development,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=433,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
37,0,1000,434,"Software Test, Integration & Debug",,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=434,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
38,0,1000,435,Travel,,1589264904000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=435,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
39,0,1000,446,Business Development,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=446,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
40,0,1000,447,"Hardware Build, Test & Commissioning",,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=447,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
41,0,1000,448,Hardware Design & Development,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=448,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
42,0,1000,449,Other,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=449,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
43,0,1000,450,"Procurement, Materials Management",,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=450,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
44,0,1000,451,Project Management,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=451,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
45,0,1000,452,"Requirements, Specification",,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=452,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
46,0,1000,453,Software Design & Development,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=453,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
47,0,1000,454,"Software Test, Integration & Debug",,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=454,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
48,0,1000,455,Travel,,1591677309000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=455,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
49,0,1000,456,Travel (Non Project),,1593430941000,completed,2,57,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=456,Admin - Personal Admin,STL,Done,Business Management: Non-billable,,,30,56,True,True
50,0,1000,491,Other,,1601708801000,completed,2,57,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=491,Admin - Personal Admin,STL,Done,Business Management: Non-billable,,,30,56,True,True
51,0,1000,492,Technical Management,,1602482205000,completed,2,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=492,QLM-4039-Splice,QLM,Done,Project Work: T&M Billable,,,33,61,False,False
52,0,1000,493,Technical Management,,1602482257000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=493,QLM-3046-Yoda,QLM,Done,Projects,,,33,73,False,False
53,0,1000,495,Technical Management,,1602482306000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=495,SIT-3051-SustainIT,Sustain IT,Done,Projects,,,43,75,True,True
54,0,1000,505,Business Development,,1604725748000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=505,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
55,0,1000,506,"Requirements, Specification",,1604725748000,completed,2,46,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=506,RMF-3066-POCM,RAB Microfluidics,Done,Projects,,,48,84,True,True
56,0,1000,530,Business Development,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=530,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
57,0,1000,533,Other,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=533,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
58,0,1000,534,"Procurement, Materials Management",,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=534,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
59,0,1000,535,Project Management,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=535,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
60,0,1000,536,"Requirements, Specification",,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=536,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
61,0,1000,537,Software Design & Development,,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=537,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
62,0,1000,538,"Software Test, Integration & Debug",,1611205884000,open,4,60,https://eu.actitime.com/stl-tech/tasks/tasklist.do?taskId=538,TWI-3054-WeldVue,Innovate UK,In Progress,Project Work: T&M Billable,,,34,87,True,True
