Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price,Month
05/02/2018,6fb87dffa5d44f0eaaa7bd0e5b528594,,THE POST OFFICE::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£0.65,0.65,n,,1,2018-02
06/02/2018,c9f6e142acf54a8386505249084b4574,,HALFORDS 0741:Wiper blade for Corsa:CORSA_MAINTENANCE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£10.00,-10,c,,1,2018-02
06/02/2018,c9f6e142acf54a8386505249084b4574,,HALFORDS 0741:Wiper blade for Corsa:CORSA_MAINTENANCE,,,,,,Expenses:Annual Expenses:Corsa Maintainance,Corsa Maintainance,£10.00,10,n,,1,2018-02
08/02/2018,d9fd7077641841489297e9268724480a,,LNK MID COUNTIES C::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£20.00,-20,c,,1,2018-02
08/02/2018,d9fd7077641841489297e9268724480a,,LNK MID COUNTIES C::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£20.00,20,n,,1,2018-02
09/02/2018,a261dae24270400a9c54d58f9a3ebd3b,,RS COMPONENTS:Ethernet cables for PCB and TV:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£7.38,-7.38,c,,1,2018-02
09/02/2018,a261dae24270400a9c54d58f9a3ebd3b,,RS COMPONENTS:Ethernet cables for PCB and TV:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£7.38,7.38,n,,1,2018-02
12/02/2018,72a83c79f56e43e0b1710dea54f4bd6e,,DUNELM LTD:Table cloth:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£22.00,-22,c,,1,2018-02
12/02/2018,72a83c79f56e43e0b1710dea54f4bd6e,,DUNELM LTD:Table cloth:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£22.00,22,n,,1,2018-02
19/02/2018,c261a94f860e4f2584f3d4152caefb0e,,SPORTSDIRECT 87:Pump for football:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£4.00,-4,c,,1,2018-02
19/02/2018,c261a94f860e4f2584f3d4152caefb0e,,SPORTSDIRECT 87:Pump for football:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£4.00,4,n,,1,2018-02
19/02/2018,64ee9e2f14874268be3fa42ed04c04d8,,SUPERDRUG STORES P::CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£8.48,-8.48,c,,1,2018-02
19/02/2018,64ee9e2f14874268be3fa42ed04c04d8,,SUPERDRUG STORES P::CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£8.48,8.48,n,,1,2018-02
20/02/2018,2e66407884a9430f9599517ecee346f4,,B & Q 1298:Gate bits:HOUSE_MAINTENANCE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£24.08,-24.08,c,,1,2018-02
20/02/2018,2e66407884a9430f9599517ecee346f4,,B & Q 1298:Gate bits:HOUSE_MAINTENANCE,,,,,,Expenses:Annual Expenses:House Maintainance,House Maintainance,£24.08,24.08,n,,1,2018-02
28/02/2018,d73c1a5c542146c7a29fbed30eefc9c6,,WWW.NMJI.CO.UK:House Insurance Update to add bikes:ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£74.02,-74.02,c,,1,2018-02
28/02/2018,d73c1a5c542146c7a29fbed30eefc9c6,,WWW.NMJI.CO.UK:House Insurance Update to add bikes:ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Home Insurance,Home Insurance,£74.02,74.02,n,,1,2018-02
28/02/2018,bbd377a5eebd46cd9e0c52e44d6bad80,,WWW.SANDFORDPARKSL:Beth and Kids Swimming pool pass:ANNUAL_LEISURE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£136.80,-136.8,c,,1,2018-02
28/02/2018,bbd377a5eebd46cd9e0c52e44d6bad80,,WWW.SANDFORDPARKSL:Beth and Kids Swimming pool pass:ANNUAL_LEISURE,,,,,,Expenses:Annual Expenses:Subscriptions,Subscriptions,£136.80,136.8,n,,1,2018-02
05/03/2018,4e368f16830c41e2a2391f9d4fd89ad7,,EAST END STORES:Sledge:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£9.99,-9.99,c,,1,2018-03
05/03/2018,4e368f16830c41e2a2391f9d4fd89ad7,,EAST END STORES:Sledge:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£9.99,9.99,n,,1,2018-03
08/03/2018,0a9d78401f434a618269ca61a32e31b9,,TV LICENCE DDA::ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£147.00,-147,c,,1,2018-03
08/03/2018,0a9d78401f434a618269ca61a32e31b9,,TV LICENCE DDA::ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Subscriptions,Subscriptions,£147.00,147,n,,1,2018-03
12/03/2018,c5c2c713313f4ed0b87183df23db48e3,,VIMEO.COM:Dugout film:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£3.33,-3.33,c,,1,2018-03
12/03/2018,c5c2c713313f4ed0b87183df23db48e3,,VIMEO.COM:Dugout film:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£3.33,3.33,n,,1,2018-03
13/03/2018,3fa27a99087b4ac59048963b5c9c18a8,,CHELTENHAM BOROUGH:Garden Waste:ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£42.00,-42,c,,1,2018-03
13/03/2018,3fa27a99087b4ac59048963b5c9c18a8,,CHELTENHAM BOROUGH:Garden Waste:ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Garden Waste,Garden Waste,£42.00,42,n,,1,2018-03
20/03/2018,8100e5ff15634680a9a5d11ce6ba14c6,,AMAZON SVCS EU-UK:Shoe laces:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£2.12,-2.12,c,,1,2018-03
20/03/2018,8100e5ff15634680a9a5d11ce6ba14c6,,AMAZON SVCS EU-UK:Shoe laces:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£2.12,2.12,n,,1,2018-03
03/04/2018,7b49be853cdd4c7681d8b7985e0d38bc,,BRITISH CYCLING FE::COMMUTING_BIKE,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£39.00,-39,c,,1,2018-04
03/04/2018,7b49be853cdd4c7681d8b7985e0d38bc,,BRITISH CYCLING FE::COMMUTING_BIKE,,,,,,Expenses:Annual Expenses:Commuter Bike Insurance,Commuter Bike Insurance,£39.00,39,n,,1,2018-04
03/04/2018,6314514a56cd420cab2f633080b4f573,,DIRECT LINE INS::ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£28.00,-28,c,,1,2018-04
03/04/2018,6314514a56cd420cab2f633080b4f573,,DIRECT LINE INS::ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Corsa Insurance,Corsa Insurance,£28.00,28,n,,1,2018-04
03/04/2018,bc40f27a83c74ec980755e08476ee84d,,DIRECT LINE INS:Car Insurance:ANNUAL_BILLS,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£188.16,-188.16,c,,1,2018-04
03/04/2018,bc40f27a83c74ec980755e08476ee84d,,DIRECT LINE INS:Car Insurance:ANNUAL_BILLS,,,,,,Expenses:Annual Expenses:Corsa Insurance,Corsa Insurance,£188.16,188.16,n,,1,2018-04
03/04/2018,3fa2d65df9504eaeb096c76ca2e05426,,FACTORY SHOP::DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£5.00,-5,c,,1,2018-04
03/04/2018,3fa2d65df9504eaeb096c76ca2e05426,,FACTORY SHOP::DEFAULT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£5.00,5,n,,1,2018-04
09/04/2018,96bb07c4e3f744dbbff80c4dc31cdd46,,MAKE THEIR DAY:Flowers:CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£13.00,-13,c,,1,2018-04
09/04/2018,96bb07c4e3f744dbbff80c4dc31cdd46,,MAKE THEIR DAY:Flowers:CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£13.00,13,n,,1,2018-04
17/04/2018,7821c0384a3f4bfabe7cf5c1e2449559,,CHALLENGE MOTOR CO:Checkover because of funny noise:DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£67.20,-67.2,c,,1,2018-04
17/04/2018,7821c0384a3f4bfabe7cf5c1e2449559,,CHALLENGE MOTOR CO:Checkover because of funny noise:DEFAULT,,,,,,Expenses:Annual Expenses:Skoda Maintainance,Skoda Maintainance,£67.20,67.2,n,,1,2018-04
17/04/2018,7751ff3aeab449cea212ed463e1aa8aa,,DREAMS LTD:Georgie Mattress:ANNUAL_CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£169.00,-169,c,,1,2018-04
17/04/2018,7751ff3aeab449cea212ed463e1aa8aa,,DREAMS LTD:Georgie Mattress:ANNUAL_CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£169.00,169,n,,1,2018-04
17/04/2018,6b17fc1723bd4e969bad0504e15ef96e,,DUNELM ONLINE ORDE:Bed linen for Gerogie:ANNUAL_CONSUMER,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£81.98,-81.98,c,,1,2018-04
17/04/2018,6b17fc1723bd4e969bad0504e15ef96e,,DUNELM ONLINE ORDE:Bed linen for Gerogie:ANNUAL_CONSUMER,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£71.98,71.98,n,,1,2018-04
17/04/2018,6b17fc1723bd4e969bad0504e15ef96e,,DUNELM ONLINE ORDE:Bed linen for Gerogie:ANNUAL_CONSUMER,,,,,,Expenses:Other Expenses:DEBT_Closed,DEBT_Closed,£10.00,10,n,,1,2018-04
20/04/2018,ef7894008a474c7ca59477c1b063ff0b,,3C CONTACTLESS STO::DEFAULT,,CURRENCY::GBP,,,,Assets:Current Account:Annual,Annual,-£2.40,-2.4,c,,1,2018-04
20/04/2018,ef7894008a474c7ca59477c1b063ff0b,,3C CONTACTLESS STO::DEFAULT,,,,,,Expenses:Annual Expenses:Consumer Annual,Consumer Annual,£2.40,2.4,n,,1,2018-04
